tanggal,nama_logam,harga
2019-01-02,GOLD,665000
2019-01-03,GOLD,667000
2019-01-04,GOLD,672000
2019-01-05,GOLD,664000
2019-01-07,GOLD,664000
2019-01-08,GOLD,660000
2019-01-09,GOLD,657000
2019-01-10,GOLD,662000
2019-01-11,GOLD,660000
2019-01-12,GOLD,660000
2019-01-14,GOLD,660000
2019-01-15,GOLD,660000
2019-01-16,GOLD,661000
2019-01-17,GOLD,663000
2019-01-18,GOLD,663000
2019-01-21,GOLD,661000
2019-01-22,GOLD,660000
2019-01-23,GOLD,662000
2019-01-24,GOLD,660000
2019-01-25,GOLD,658000
2019-01-26,GOLD,668000
2019-01-28,GOLD,666000
2019-01-29,GOLD,663000
2019-01-30,GOLD,667000
2019-01-31,GOLD,671000
2019-02-01,GOLD,670000
2019-02-04,GOLD,666000
2019-02-06,GOLD,666000
2019-02-07,GOLD,663000
2019-02-08,GOLD,665000
2019-02-09,GOLD,666000
2019-02-11,GOLD,666000
2019-02-12,GOLD,664000
2019-02-13,GOLD,667000
2019-02-14,GOLD,664000
2019-02-15,GOLD,668000
2019-02-16,GOLD,672000
2019-02-18,GOLD,671000
2019-02-19,GOLD,674000
2019-02-20,GOLD,680000
2019-02-21,GOLD,677000
2019-02-22,GOLD,673000
2019-02-23,GOLD,675000
2019-02-25,GOLD,674000
2019-02-26,GOLD,671000
2019-02-27,GOLD,670000
2019-02-28,GOLD,665000
2019-03-01,GOLD,664000
2019-03-02,GOLD,660000
2019-03-04,GOLD,656500
2019-03-05,GOLD,656000
2019-03-06,GOLD,656500
2019-03-08,GOLD,655500
2019-03-09,GOLD,660000
2019-03-11,GOLD,663500
2019-03-12,GOLD,665000
2019-03-13,GOLD,670000
2019-03-14,GOLD,671000
2019-03-15,GOLD,666000
2019-03-16,GOLD,671000
2019-03-18,GOLD,669500
2019-03-19,GOLD,666500
2019-03-20,GOLD,667500
2019-03-21,GOLD,671000
2019-03-22,GOLD,663000
2019-03-23,GOLD,667000
2019-03-25,GOLD,666000
2019-03-26,GOLD,672000
2019-03-27,GOLD,667000
2019-03-28,GOLD,665000
2019-04-01,GOLD,660000
2019-04-02,GOLD,660000
2019-04-04,GOLD,661000
2019-04-05,GOLD,660500
2019-04-06,GOLD,660500
2019-04-08,GOLD,660500
2019-04-09,GOLD,662000
2019-04-10,GOLD,663500
2019-04-11,GOLD,664500
2019-04-12,GOLD,660000
2019-04-13,GOLD,659500
2019-04-15,GOLD,660000
2019-04-16,GOLD,657500
2019-04-18,GOLD,656000
2019-04-20,GOLD,656000
2019-04-22,GOLD,656000
2019-04-23,GOLD,656000
2019-04-24,GOLD,656000
2019-04-25,GOLD,658000
2019-04-26,GOLD,661000
2019-04-27,GOLD,664500
2019-04-29,GOLD,664000
2019-04-30,GOLD,661500
2019-05-02,GOLD,661000
2019-05-03,GOLD,660000
2019-05-04,GOLD,665000
2019-05-06,GOLD,664000
2019-05-07,GOLD,665000
2019-05-08,GOLD,665500
2019-05-09,GOLD,662000
2019-05-10,GOLD,664000
2019-05-11,GOLD,664000
2019-05-13,GOLD,664500
2019-05-14,GOLD,669000
2019-05-15,GOLD,669000
2019-05-16,GOLD,669000
2019-05-17,GOLD,665000
2019-05-18,GOLD,663000
2019-05-20,GOLD,663000
2019-05-21,GOLD,663000
2019-05-22,GOLD,662000
2019-05-23,GOLD,662000
2019-05-24,GOLD,666000
2019-05-27,GOLD,665000
2019-05-28,GOLD,662000
2019-05-29,GOLD,662000
2019-05-31,GOLD,662000
2019-06-10,GOLD,681000
2019-06-11,GOLD,673000
2019-06-12,GOLD,673000
2019-06-13,GOLD,675000
2019-06-14,GOLD,681000
2019-06-15,GOLD,681000
2019-06-17,GOLD,679000
2019-06-18,GOLD,682000
2019-06-19,GOLD,684000
2019-06-20,GOLD,694000
2019-06-21,GOLD,702000
2019-06-22,GOLD,699000
2019-06-24,GOLD,702500
2019-06-25,GOLD,713000
2019-06-26,GOLD,709000
2019-06-27,GOLD,707000
2019-06-28,GOLD,711000
2019-06-29,GOLD,705000
2019-07-01,GOLD,699000
2019-07-02,GOLD,694000
2019-07-03,GOLD,714000
2019-07-04,GOLD,711000
2019-07-05,GOLD,709000
2019-07-06,GOLD,701000
2019-07-08,GOLD,700000
2019-07-09,GOLD,699000
2019-07-10,GOLD,699000
2019-07-11,GOLD,711000
2019-07-12,GOLD,701000
2019-07-13,GOLD,706000
2019-07-15,GOLD,706000
2019-07-16,GOLD,702000
2019-07-17,GOLD,697000
2019-07-18,GOLD,705000
2019-07-19,GOLD,714000
2019-07-20,GOLD,703000
2019-07-22,GOLD,704000
2019-07-23,GOLD,705000
2019-07-24,GOLD,703000
2019-07-25,GOLD,708000
2019-07-26,GOLD,702000
2019-07-27,GOLD,704000
2019-07-29,GOLD,705000
2019-07-30,GOLD,707000
2019-07-31,GOLD,711000
2019-08-01,GOLD,702500
2019-08-02,GOLD,717000
2019-08-03,GOLD,722000
2019-08-05,GOLD,724000
2019-08-06,GOLD,739000
2019-08-07,GOLD,746000
2019-08-08,GOLD,753000
2019-08-09,GOLD,752000
2019-08-10,GOLD,747000
2019-08-12,GOLD,749000
2019-08-13,GOLD,755000
2019-08-14,GOLD,754000
2019-08-15,GOLD,759000
2019-08-16,GOLD,766000
2019-08-17,GOLD,759000
2019-08-19,GOLD,757000
2019-08-20,GOLD,749000
2019-08-21,GOLD,756000
2019-08-22,GOLD,755000
2019-08-23,GOLD,751000
2019-08-24,GOLD,765000
2019-08-26,GOLD,774000
2019-08-27,GOLD,766500
2019-08-28,GOLD,772000
2019-08-29,GOLD,771000
2019-08-30,GOLD,766000
2019-08-31,GOLD,763000
2019-09-02,GOLD,768000
2019-09-03,GOLD,765000
2019-09-04,GOLD,775000
2019-09-05,GOLD,775000
2019-09-06,GOLD,765000
2019-09-07,GOLD,759000
2019-09-09,GOLD,758000
2019-09-10,GOLD,754000
2019-09-11,GOLD,751000
2019-09-12,GOLD,752000
2019-09-13,GOLD,753000
2019-09-14,GOLD,745000
2019-09-16,GOLD,753000
2019-09-17,GOLD,753000
2019-09-18,GOLD,757000
2019-09-19,GOLD,752000
2019-09-20,GOLD,756000
2019-09-21,GOLD,763000
2019-09-23,GOLD,762000
2019-09-24,GOLD,765000
2019-09-25,GOLD,769000
2019-09-26,GOLD,762000
2019-09-27,GOLD,762000
2019-09-28,GOLD,761000
2019-09-30,GOLD,761000
2019-10-01,GOLD,751000
2019-10-02,GOLD,755000
2019-10-03,GOLD,762000
2019-10-04,GOLD,764000
2019-10-05,GOLD,761000
2019-10-07,GOLD,761000
2019-10-08,GOLD,756000
2019-10-09,GOLD,762000
2019-10-10,GOLD,766000
2019-10-11,GOLD,758000
2019-10-12,GOLD,756000
2019-10-14,GOLD,754000
2019-10-15,GOLD,756000
2019-10-16,GOLD,752000
2019-10-17,GOLD,758000
2019-10-18,GOLD,758000
2019-10-19,GOLD,756000
2019-10-21,GOLD,756000
2019-10-22,GOLD,752000
2019-10-23,GOLD,751000
2019-10-24,GOLD,752000
2019-10-25,GOLD,754000
2019-10-26,GOLD,757000
2019-10-28,GOLD,757000
2019-10-29,GOLD,752000
2019-10-30,GOLD,751000
2019-10-31,GOLD,755000
2019-11-01,GOLD,764000
2019-11-02,GOLD,764000
2019-11-04,GOLD,763000
2019-11-05,GOLD,758000
2019-11-06,GOLD,750000
2019-11-07,GOLD,750000
2019-11-08,GOLD,745000
2019-11-09,GOLD,741000
2019-11-11,GOLD,742000
2019-11-12,GOLD,741000
2019-11-13,GOLD,743000
2019-11-14,GOLD,746000
2019-11-15,GOLD,748000
2019-11-16,GOLD,747000
2019-11-18,GOLD,748000
2019-11-19,GOLD,749000
2019-11-20,GOLD,751000
2019-11-21,GOLD,751000
2019-11-22,GOLD,748000
2019-11-23,GOLD,747000
2019-11-25,GOLD,747000
2019-11-26,GOLD,743000
2019-11-27,GOLD,745000
2019-11-28,GOLD,744000
2019-11-29,GOLD,744000
2019-11-30,GOLD,747000
2019-12-02,GOLD,746000
2019-12-03,GOLD,747000
2019-12-04,GOLD,753000
2019-12-05,GOLD,752000
2019-12-06,GOLD,751000
2019-12-07,GOLD,747000
2019-12-09,GOLD,744000
2019-12-10,GOLD,743000
2019-12-11,GOLD,744000
2019-12-12,GOLD,750000
2019-12-13,GOLD,746000
2019-12-14,GOLD,750000
2019-12-16,GOLD,749000
2019-12-17,GOLD,751000
2019-12-18,GOLD,752000
2019-12-19,GOLD,751000
2019-12-20,GOLD,751000
2019-12-21,GOLD,752000
2019-12-23,GOLD,752000
2019-12-26,GOLD,758000
2019-12-27,GOLD,762000
2019-12-30,GOLD,762000
2020-01-02,GOLD,762000
2020-01-03,GOLD,766000
2020-01-04,GOLD,774000
2020-01-06,GOLD,783000
2020-01-07,GOLD,784000
2020-01-08,GOLD,799000
2020-01-09,GOLD,782000
2020-01-10,GOLD,777000
2020-01-11,GOLD,780000
2020-01-13,GOLD,778000
2020-01-14,GOLD,767000
2020-01-15,GOLD,767000
2020-01-16,GOLD,772000
2020-01-17,GOLD,768000
2020-01-18,GOLD,770000
2020-01-20,GOLD,769000
2020-01-21,GOLD,771000
2020-01-22,GOLD,769000
2020-01-23,GOLD,772000
2020-01-24,GOLD,768000
2020-01-27,GOLD,774000
2020-01-28,GOLD,774000
2020-01-29,GOLD,771000
2020-01-30,GOLD,774000
2020-01-31,GOLD,774000
2020-02-01,GOLD,781000
2020-02-03,GOLD,779000
2020-02-04,GOLD,778000
2020-02-05,GOLD,771000
2020-02-06,GOLD,770000
2020-02-07,GOLD,772000
2020-02-10,GOLD,775000
2020-02-11,GOLD,776000
2020-02-12,GOLD,774000
2020-02-13,GOLD,774000
2020-02-14,GOLD,777000
2020-02-15,GOLD,780000
2020-02-17,GOLD,779000
2020-02-18,GOLD,779000
2020-02-19,GOLD,783000
2020-02-20,GOLD,788000
2020-02-21,GOLD,793000
2020-02-22,GOLD,804000
2020-02-24,GOLD,809000
2020-02-25,GOLD,809000
2020-02-26,GOLD,808000
2020-02-27,GOLD,813000
2020-02-28,GOLD,816000
2020-02-29,GOLD,806000
2020-03-02,GOLD,810000
2020-03-03,GOLD,815000
2020-03-04,GOLD,827000
2020-03-05,GOLD,822000
2020-03-06,GOLD,837000
2020-03-07,GOLD,842000
2020-03-09,GOLD,851000
2020-03-10,GOLD,842000
2020-03-11,GOLD,839000
2020-03-12,GOLD,831000
2020-03-13,GOLD,812000
2020-03-14,GOLD,809000
2020-03-16,GOLD,819000
2020-03-17,GOLD,801000
2020-03-18,GOLD,826000
2020-03-19,GOLD,814000
2020-03-20,GOLD,824000
2020-03-21,GOLD,870000
2020-03-22,GOLD,870000
2020-03-23,GOLD,861000
2020-03-24,GOLD,919000
2020-03-26,GOLD,924000
2020-03-27,GOLD,924000
2020-03-30,GOLD,926000
2020-03-31,GOLD,924000
2020-04-01,GOLD,911000
2020-04-02,GOLD,918000
2020-04-03,GOLD,944000
2020-04-04,GOLD,934000
2020-04-06,GOLD,931000
2020-04-07,GOLD,963000
2020-04-08,GOLD,946000
2020-04-09,GOLD,938000
2020-04-11,GOLD,951000
2020-04-13,GOLD,952000
2020-04-14,GOLD,948000
2020-04-15,GOLD,943000
2020-04-16,GOLD,939000
2020-04-17,GOLD,942000
2020-04-18,GOLD,927000
2020-04-20,GOLD,917000
2020-04-21,GOLD,924000
2020-04-22,GOLD,928000
2020-04-23,GOLD,934000
2020-04-24,GOLD,944000
2020-04-25,GOLD,943000
2020-04-27,GOLD,939000
2020-04-28,GOLD,935000
2020-04-29,GOLD,928000
2020-04-30,GOLD,928000
2020-05-02,GOLD,916000
2020-05-04,GOLD,914000
2020-05-05,GOLD,913000
2020-05-06,GOLD,913000
2020-05-08,GOLD,918000
2020-05-09,GOLD,911000
2020-05-11,GOLD,911000
2020-05-12,GOLD,903000
2020-05-13,GOLD,908000
2020-05-14,GOLD,910000
2020-05-15,GOLD,917000
2020-05-16,GOLD,919000
2020-05-18,GOLD,934000
2020-05-19,GOLD,924000
2020-05-20,GOLD,926000
2020-05-22,GOLD,916000
2020-05-26,GOLD,917000
2020-05-27,GOLD,909000
2020-05-28,GOLD,908000
2020-05-29,GOLD,913000
2020-05-30,GOLD,914000
2020-06-02,GOLD,920000
2020-06-03,GOLD,904000
2020-06-04,GOLD,887000
2020-06-05,GOLD,888000
2020-06-06,GOLD,876000
2020-06-08,GOLD,876000
2020-06-09,GOLD,875000
2020-06-10,GOLD,881000
2020-06-11,GOLD,893000
2020-06-12,GOLD,886000
2020-06-13,GOLD,900000
2020-06-15,GOLD,902000
2020-06-16,GOLD,898000
2020-06-17,GOLD,895000
2020-06-18,GOLD,900000
2020-06-19,GOLD,895000
2020-06-20,GOLD,905000
2020-06-22,GOLD,907000
2020-06-23,GOLD,908000
2020-06-24,GOLD,916000
2020-06-25,GOLD,907000
2020-06-26,GOLD,910000
2020-06-27,GOLD,912000
2020-06-29,GOLD,911000
2020-06-30,GOLD,918000
2020-07-01,GOLD,919000
2020-07-02,GOLD,915000
2020-07-03,GOLD,928000
2020-07-04,GOLD,930000
2020-07-06,GOLD,931000
2020-07-07,GOLD,934000
2020-07-08,GOLD,934000
2020-07-09,GOLD,940000
2020-07-10,GOLD,937000
2020-07-11,GOLD,937000
2020-07-13,GOLD,938000
2020-07-14,GOLD,938000
2020-07-15,GOLD,942000
2020-07-16,GOLD,949000
2020-07-17,GOLD,944000
2020-07-18,GOLD,956000
2020-07-20,GOLD,956000
2020-07-21,GOLD,963000
2020-07-22,GOLD,982000
2020-07-23,GOLD,977000
2020-07-24,GOLD,984000
2020-07-25,GOLD,989000
2020-07-27,GOLD,997000
2020-07-28,GOLD,1022000
2020-07-29,GOLD,1013000
2020-07-30,GOLD,1016000
2020-08-01,GOLD,1028000
2020-08-03,GOLD,1028000
2020-08-04,GOLD,1029000
2020-08-05,GOLD,1048000
2020-08-06,GOLD,1054000
2020-08-07,GOLD,1065000
2020-08-08,GOLD,1055000
2020-08-10,GOLD,1054000
2020-08-11,GOLD,1056000
2020-08-12,GOLD,1026000
2020-08-13,GOLD,1028000
2020-08-14,GOLD,1040000
2020-08-15,GOLD,1035000
2020-08-16,GOLD,1035000
2020-08-17,GOLD,1030000
2020-08-18,GOLD,1050000
2020-08-19,GOLD,1058000
2020-08-20,GOLD,1030000
2020-08-21,GOLD,1031000
2020-08-22,GOLD,1027000
2020-08-23,GOLD,1027000
2020-08-24,GOLD,1023000
2020-08-25,GOLD,1021000
2020-08-26,GOLD,1011000
2020-08-27,GOLD,1019000
2020-08-28,GOLD,1012000
2020-08-29,GOLD,1027000
2020-08-30,GOLD,1027000
2020-08-31,GOLD,1030000
2020-09-01,GOLD,1026000
2020-09-02,GOLD,1024000
2020-09-03,GOLD,1024000
2020-09-04,GOLD,1021000
2020-09-05,GOLD,1020000
2020-09-06,GOLD,1020000
2020-09-07,GOLD,1020000
2020-09-08,GOLD,1015000
2020-09-09,GOLD,1017000
2020-09-10,GOLD,1027000
2020-09-11,GOLD,1028000
2020-09-12,GOLD,1031000
2020-09-13,GOLD,1031000
2020-09-14,GOLD,1031000
2020-09-15,GOLD,1037000
2020-09-16,GOLD,1030000
2020-09-17,GOLD,1030000
2020-09-18,GOLD,1030000
2020-09-19,GOLD,1023000
2020-09-21,GOLD,1024000
2020-09-22,GOLD,1009000
2020-09-23,GOLD,1007000
2020-09-24,GOLD,1002000
2020-09-25,GOLD,1009000
2020-09-26,GOLD,1006000
2020-09-28,GOLD,1006000
2020-09-29,GOLD,1014000
2020-09-30,GOLD,1016000
2020-10-01,GOLD,1013000
2020-10-02,GOLD,1015000
2020-10-03,GOLD,1014000
2020-10-04,GOLD,1014000
2020-10-05,GOLD,1015000
2020-10-06,GOLD,1017000
2020-10-07,GOLD,999000
2020-10-08,GOLD,1004000
2020-10-09,GOLD,1007000
2020-10-10,GOLD,1019000
2020-10-11,GOLD,1019000
2020-10-12,GOLD,1017000
2020-10-13,GOLD,1015000
2020-10-14,GOLD,1007000
2020-10-15,GOLD,1009000
2020-10-16,GOLD,1011000
2020-10-17,GOLD,1008000
2020-10-19,GOLD,1008000
2020-10-20,GOLD,1008000
2020-10-21,GOLD,1012000
2020-10-22,GOLD,1011000
2020-10-23,GOLD,1007000
2020-10-24,GOLD,1008000
2020-10-25,GOLD,1008000
2020-10-26,GOLD,1007000
2020-10-27,GOLD,1007000
2020-10-28,GOLD,1007000
2020-10-29,GOLD,995000
2020-10-30,GOLD,992000
2020-10-31,GOLD,996000
2020-11-01,GOLD,996000
2020-11-02,GOLD,994000
2020-11-03,GOLD,1004000
2020-11-04,GOLD,1004000
2020-11-05,GOLD,1000000
2020-11-06,GOLD,1009000
2020-11-07,GOLD,1004000
2020-11-08,GOLD,1004000
2020-11-09,GOLD,1006000
2020-11-10,GOLD,972000
2020-11-11,GOLD,970000
2020-11-12,GOLD,968000
2020-11-13,GOLD,978000
2020-11-14,GOLD,985000
2020-11-15,GOLD,985000
2020-11-16,GOLD,985000
2020-11-17,GOLD,980000
2020-11-18,GOLD,975000
2020-11-19,GOLD,973000
2020-11-20,GOLD,973000
2020-11-21,GOLD,977000
2020-11-22,GOLD,977000
2020-11-23,GOLD,977000
2020-11-24,GOLD,961000
2020-11-25,GOLD,953000
2020-11-26,GOLD,953000
2020-11-27,GOLD,951000
2020-11-28,GOLD,942000
2020-11-29,GOLD,942000
2020-11-30,GOLD,942000
2020-12-01,GOLD,938000
2020-12-02,GOLD,952000
2020-12-03,GOLD,957000
2020-12-04,GOLD,961000
2020-12-05,GOLD,960000
2020-12-06,GOLD,960000
2020-12-07,GOLD,959000
2020-12-08,GOLD,966000
2020-12-10,GOLD,956000
2020-12-11,GOLD,954000
2020-12-12,GOLD,954000
2020-12-13,GOLD,954000
2020-12-14,GOLD,952000
2020-12-15,GOLD,951000
2020-12-16,GOLD,962000
2020-12-17,GOLD,965000
2020-12-18,GOLD,972000
2020-12-19,GOLD,970000
2020-12-20,GOLD,970000
2020-12-21,GOLD,976000
2020-12-22,GOLD,970000
2020-12-23,GOLD,966000
2020-12-24,GOLD,971000
2020-12-25,GOLD,973000
2020-12-26,GOLD,973000
2020-12-27,GOLD,973000
2020-12-28,GOLD,977000
2020-12-29,GOLD,967000
2020-12-30,GOLD,965000
2021-01-02,GOLD,969000
2021-01-04,GOLD,975000
2021-01-05,GOLD,975000
2021-01-06,GOLD,981000
2021-01-07,GOLD,971000
2021-01-08,GOLD,969000
2021-01-09,GOLD,954000
2021-01-10,GOLD,954000
2021-01-11,GOLD,952000
2021-01-12,GOLD,957000
2021-01-13,GOLD,965000
2021-01-14,GOLD,955000
2021-01-15,GOLD,956000
2021-01-16,GOLD,948000
2021-01-17,GOLD,948000
2021-01-18,GOLD,944000
2021-01-19,GOLD,952000
2021-01-20,GOLD,954000
2021-01-21,GOLD,963000
2021-01-22,GOLD,961000
2021-01-23,GOLD,957000
2021-01-25,GOLD,958000
2021-01-26,GOLD,958000
2021-01-27,GOLD,956000
2021-01-28,GOLD,952000
2021-01-29,GOLD,954000
2021-01-30,GOLD,954000
2021-02-01,GOLD,955000
2021-02-02,GOLD,954000
2021-02-03,GOLD,947000
2021-02-04,GOLD,943000
2021-02-05,GOLD,930000
2021-02-06,GOLD,940000
2021-02-08,GOLD,940000
2021-02-09,GOLD,943000
2021-02-10,GOLD,945000
2021-02-11,GOLD,945000
2021-02-13,GOLD,940000
2021-02-15,GOLD,940000
2021-02-16,GOLD,935000
2021-02-17,GOLD,922000
2021-02-18,GOLD,925000
2021-02-19,GOLD,923000
2021-02-20,GOLD,930000
2021-02-21,GOLD,930000
2021-02-22,GOLD,930000
2021-02-23,GOLD,938000
2021-02-24,GOLD,938000
2021-02-25,GOLD,934000
2021-02-26,GOLD,922000
2021-02-27,GOLD,917000
2021-02-28,GOLD,917000
2021-03-01,GOLD,923000
2021-03-02,GOLD,923000
2021-03-03,GOLD,928000
2021-03-04,GOLD,923000
2021-03-05,GOLD,918000
2021-03-06,GOLD,923000
2021-03-07,GOLD,923000
2021-03-08,GOLD,924000
2021-03-09,GOLD,915000
2021-03-10,GOLD,930000
2021-03-11,GOLD,930000
2021-03-12,GOLD,929000
2021-03-13,GOLD,926000
2021-03-14,GOLD,926000
2021-03-15,GOLD,924000
2021-03-16,GOLD,927000
2021-03-17,GOLD,927000
2021-03-18,GOLD,935000
2021-03-19,GOLD,925000
2021-03-20,GOLD,934000
2021-03-21,GOLD,934000
2021-03-22,GOLD,931000
2021-03-23,GOLD,929000
2021-03-24,GOLD,921000
2021-03-25,GOLD,924000
2021-03-26,GOLD,921000
2021-03-27,GOLD,922000
2021-03-28,GOLD,922000
2021-03-29,GOLD,921000
2021-03-30,GOLD,911000
2021-03-31,GOLD,903000
2021-04-01,GOLD,913000
2021-04-02,GOLD,922000
2021-04-03,GOLD,922000
2021-04-04,GOLD,922000
2021-04-05,GOLD,921000
2021-04-06,GOLD,920000
2021-04-07,GOLD,924000
2021-04-08,GOLD,922000
2021-04-09,GOLD,931000
2021-04-10,GOLD,927000
2021-04-11,GOLD,927000
2021-04-12,GOLD,926000
2021-04-13,GOLD,924000
2021-04-14,GOLD,930000
2021-04-15,GOLD,925000
2021-04-16,GOLD,935000
2021-04-17,GOLD,937000
2021-04-19,GOLD,939000
2021-04-20,GOLD,933000
2021-04-21,GOLD,932000
2021-04-22,GOLD,940000
2021-04-23,GOLD,935000
2021-04-24,GOLD,933000
2021-04-25,GOLD,933000
2021-04-26,GOLD,933000
2021-04-27,GOLD,930000
2021-04-28,GOLD,926000
2021-04-29,GOLD,931000
2021-04-30,GOLD,922000
2021-05-01,GOLD,921000
2021-05-02,GOLD,921000
2021-05-03,GOLD,921000
2021-05-04,GOLD,930000
2021-05-05,GOLD,922000
2021-05-06,GOLD,926000
2021-05-07,GOLD,934000
2021-05-08,GOLD,937000
2021-05-09,GOLD,937000
2021-05-10,GOLD,937000
2021-05-11,GOLD,933000
2021-05-17,GOLD,937000
2021-05-18,GOLD,947000
2021-05-19,GOLD,948000
2021-05-20,GOLD,947000
2021-05-21,GOLD,957000
2021-05-22,GOLD,958000
2021-05-23,GOLD,958000
2021-05-24,GOLD,959000
2021-05-25,GOLD,955000
2021-05-27,GOLD,962000
2021-05-28,GOLD,962000
2021-05-29,GOLD,965000
2021-05-30,GOLD,965000
2021-05-31,GOLD,965000
2021-06-02,GOLD,961000
2021-06-03,GOLD,964000
2021-06-04,GOLD,949000
2021-06-05,GOLD,960000
2021-06-06,GOLD,960000
2021-06-07,GOLD,959000
2021-06-08,GOLD,960000
2021-06-09,GOLD,957000
2021-06-10,GOLD,954000
2021-06-11,GOLD,957000
2021-06-12,GOLD,948000
2021-06-14,GOLD,945000
2021-06-15,GOLD,943000
2021-06-16,GOLD,940000
2021-06-17,GOLD,928000
2021-06-18,GOLD,920000
2021-06-19,GOLD,920000
2021-06-21,GOLD,918000
2021-06-22,GOLD,932000
2021-06-23,GOLD,930000
2021-06-24,GOLD,932000
2021-06-25,GOLD,932000
2021-06-26,GOLD,934000
2021-06-28,GOLD,933000
2021-06-29,GOLD,932000
2021-06-30,GOLD,927000
2021-07-01,GOLD,932000
2021-07-02,GOLD,935000
2021-07-03,GOLD,942000
2021-07-05,GOLD,941000
2021-07-06,GOLD,939000
2021-07-07,GOLD,940000
2021-07-08,GOLD,945000
2021-07-09,GOLD,947000
2021-07-10,GOLD,950000
2021-07-12,GOLD,950000
2021-07-13,GOLD,946000
2021-07-14,GOLD,945000
2021-07-15,GOLD,953000
2021-07-16,GOLD,956000
2021-07-17,GOLD,949000
2021-07-19,GOLD,950000
2021-07-21,GOLD,947000
2021-07-22,GOLD,946000
2021-07-23,GOLD,946000
2021-07-24,GOLD,943000
2021-07-26,GOLD,942000
2021-07-27,GOLD,940000
2021-07-28,GOLD,940000
2021-07-29,GOLD,945000
2021-07-30,GOLD,953000
2021-07-31,GOLD,948000
2021-08-02,GOLD,948000
2021-08-03,GOLD,948000
2021-08-04,GOLD,943000
2021-08-05,GOLD,941000
2021-08-06,GOLD,939000
2021-08-07,GOLD,931000
2021-08-09,GOLD,921000
2021-08-10,GOLD,925000
2021-08-12,GOLD,932000
2021-08-13,GOLD,932000
2021-08-14,GOLD,942000
2021-08-16,GOLD,942000
2021-08-18,GOLD,946000
2021-08-19,GOLD,947000
2021-08-20,GOLD,946000
2021-08-21,GOLD,948000
2021-08-23,GOLD,946000
2021-08-24,GOLD,953000
2021-08-25,GOLD,950000
2021-08-26,GOLD,942000
2021-08-27,GOLD,942000
